"","ip","app","device","os","channel","is_attributed","Hour"
"197",11090,3,1,19,280,0,18
"198",65785,3,1,19,280,0,2
"199",94765,10,1,10,377,0,8
"200",98363,12,1,25,481,0,21
"201",106241,2,1,53,477,0,6
"202",112950,15,1,25,386,0,8
"203",11668,20,1,8,478,0,0
"204",91885,15,1,19,315,0,30
"205",105292,8,1,17,145,0,35
"206",108048,22,1,19,116,0,9
"207",113751,12,1,8,259,0,1
"208",66232,2,1,18,469,0,22
"209",69315,3,1,1,489,0,17
"210",64663,3,1,19,280,0,11
"211",69197,2,1,26,469,0,6
"212",125481,18,1,13,134,0,29
"213",143473,14,1,13,463,0,40
"214",169833,12,1,20,265,0,14
"215",75634,3,1,19,280,0,23
"216",46132,1,1,13,153,0,5
"217",111025,18,1,1,439,0,19
"218",62145,2,1,13,219,0,30
"219",191961,18,1,17,107,0,3
"220",133804,9,1,18,334,0,26
"221",61423,20,1,19,259,0,13
"222",49850,12,1,32,105,0,41
"223",151507,2,1,47,435,0,30
"224",73456,60,1,46,21,0,11
"225",5348,58,3866,866,347,0,28
"226",88789,9,1,30,234,0,9
"227",37892,2,1,19,236,0,26
"228",234832,8,1,41,145,0,14
"229",145896,2,1,9,212,0,32
"230",109299,15,2,65,245,0,44
"231",12549,3,1,27,280,0,23
"232",103443,2,1,13,237,0,40
"233",46637,14,1,22,379,0,19
"234",11907,15,1,41,265,0,10
"235",98531,12,1,19,328,0,27
"236",198014,3,1,13,173,0,31
"237",47689,9,1,8,244,0,22
"238",96037,12,1,19,328,0,8
"239",3966,60,1,3,21,0,45
"240",34725,3,1,1,280,0,23
"241",285115,18,1,13,439,0,30
"242",15540,9,1,13,334,0,21
"243",49882,21,1,28,232,0,17
"244",20411,21,1,14,128,0,11
"245",33076,3,1,19,280,0,16
"246",103021,3,1,19,280,0,29
"247",313388,3,1,8,280,0,0
"248",76453,9,1,3,466,0,13
"249",175837,2,1,19,205,0,17
"250",58614,26,1,16,266,0,28
"251",49439,28,1,19,135,0,20
"252",51544,18,1,22,439,0,5
"253",334359,9,1,13,445,0,34
"254",59142,3,1,19,173,0,26
"255",246196,2,1,17,219,0,25
"256",158559,18,1,37,107,0,2
"257",68362,15,1,6,265,0,24
"258",14130,3,1,26,379,0,28
"259",24966,21,1,13,128,0,3
"260",45745,23,1,20,153,0,27
"261",67658,15,1,19,245,0,25
"262",90306,9,1,19,258,0,29
"263",23620,11,1,19,173,0,10
"264",175837,18,1,13,439,0,25
"265",122292,64,1,19,459,0,21
"266",57335,3,1,8,280,0,11
"267",159688,9,1,19,334,0,21
"268",93226,9,1,19,442,0,1
"269",97814,15,1,13,130,0,17
"270",76529,14,1,13,442,0,22
"271",51778,3,1,19,130,0,25
"272",88743,2,1,13,237,0,6
"273",43899,27,1,13,153,0,23
"274",5348,18,1,8,107,0,4
"275",50164,2,1,18,435,0,30
"276",357463,26,1,19,262,0,17
"277",131283,12,1,2,145,0,23
"278",291594,7,1,55,101,0,20
"279",87865,12,1,37,140,0,4
"280",116067,18,1,19,121,0,1
"281",115581,2,1,19,205,0,33
"282",5314,18,1,19,107,0,19
"283",81009,13,1,12,477,0,5
"284",105170,9,1,13,232,0,4
"285",224120,19,0,29,213,1,4
"286",7815,12,1,17,265,0,29
"287",30724,14,1,25,463,0,1
"288",290743,12,1,18,265,0,28
"289",22088,12,1,13,409,0,7
"290",73487,3,1,8,280,0,24
"291",38755,9,1,13,134,0,1
"292",173141,9,1,22,215,0,18
"293",125271,12,1,26,105,0,22
"294",84774,15,1,22,140,0,23
"295",195958,26,1,42,121,0,10
"296",87998,20,1,20,478,0,21
"297",24977,32,1,39,376,0,24
"298",7785,11,1,20,219,0,30
"299",27849,12,1,34,328,0,18
"300",105475,7,1,40,101,0,28
"301",68568,18,1,22,107,0,15
"302",340406,12,1,16,178,0,19
"303",28310,3,1,19,280,0,11
"304",32001,21,1,13,128,0,22
"305",53454,18,2,97,121,0,29
"306",164682,14,1,13,439,0,14
"307",7246,23,1,9,153,0,7
"308",92844,3,1,20,452,0,27
"309",521,64,1,19,459,0,18
"310",10760,18,1,19,107,0,1
"311",103340,3,1,19,130,0,34
"312",106541,17,1,13,280,0,1
"313",44607,12,1,15,178,0,11
"314",52923,24,1,22,105,0,14
"315",45841,3,1,14,280,0,4
"316",7372,20,1,16,478,0,17
"317",83668,12,1,47,328,0,12
"318",18350,1,1,10,137,0,4
"319",109764,18,3032,607,107,0,26
"320",105475,27,1,32,153,0,29
"321",30443,9,1,13,334,0,13
"322",141474,3,1,13,409,0,27
"323",134346,2,1,19,452,0,27
"324",110595,2,1,17,258,0,28
"325",81001,12,1,13,328,0,18
"326",175369,20,1,13,478,0,28
"327",114439,22,1,18,116,0,26
"328",53960,2,1,13,205,0,31
"329",5788,3,1,13,280,0,6
"330",79921,20,1,8,478,0,47
"331",59401,8,1,3,145,0,32
"332",55776,9,1,13,127,0,26
"333",92766,12,1,13,259,0,13
"334",206284,12,2,79,145,0,35
"335",174783,4,1,49,101,0,7
"336",25321,12,1,13,265,0,16
"337",73516,53,3866,866,347,0,1
"338",111414,18,1,13,121,0,43
"339",176758,11,1,20,319,0,3
"340",144507,12,1,17,265,0,5
"341",106279,12,1,19,178,0,47
"342",73582,1,1,19,153,0,30
"343",99945,3,1,19,480,0,5
"344",93424,2,1,19,435,0,18
"345",157650,3,1,17,130,0,7
"346",120594,18,1,37,439,0,21
"347",7346,2,1,37,477,0,29
"348",86767,12,1,35,340,0,14
"349",26934,8,1,1,145,0,0
"350",27095,23,1,18,153,0,3
"351",166206,15,1,19,412,0,2
"352",78564,12,1,19,178,0,0
"353",158511,14,1,9,480,0,20
"354",81013,11,1,13,319,0,7
"355",211682,18,3032,607,107,0,18
"356",100182,11,1,25,137,0,34
"357",95640,12,1,17,178,0,19
"358",87879,9,1,10,134,0,32
"359",74606,24,1,13,105,0,9
"360",79012,3,1,4,211,0,37
"361",84942,3,1,30,280,0,6
"362",66272,15,1,6,245,0,46
"363",38413,3,1,13,19,0,17
"364",89475,14,1,27,442,0,18
"365",33661,12,1,13,409,0,32
"366",100929,12,1,26,424,0,5
"367",9795,3,1,13,205,0,8
"368",182972,3,1,19,280,0,6
"369",162383,3,1,10,205,0,9
"370",280918,15,1,19,3,0,23
"371",114878,2,1,19,205,0,25
"372",112926,3,1,17,424,0,3
"373",2144,15,1,22,278,0,47
"374",186269,12,1,44,265,0,37
"375",111025,18,1,19,107,0,25
"376",38941,2,1,19,477,0,32
"377",92160,3,1,19,480,0,10
"378",175051,2,1,19,243,0,4
"379",217464,12,1,19,259,0,6
"380",81468,21,1,17,128,0,6
"381",60428,21,2,9,128,0,30
"382",49431,9,2,19,127,0,31
"383",18682,3,1,20,280,0,10
"384",90782,9,1,19,134,0,1
"385",44527,21,2,19,128,0,20
"386",88756,11,1,19,360,0,18
"387",25126,3,1,37,135,0,20
"388",68525,15,1,11,153,0,15
"389",111182,9,1,19,466,0,32
"390",70098,14,1,19,442,0,29
"391",75007,12,1,6,259,0,28
"392",33021,3,1,40,280,0,0
"393",8499,15,1,19,3,0,3
"394",120111,3,1,18,409,0,28
"395",37135,21,2,13,232,0,4
"396",106035,2,1,13,122,0,28
"397",99897,2,1,6,237,0,23
"398",52413,18,1,25,107,0,23
"399",9923,12,1,18,328,0,27
"400",10785,9,1,32,489,0,6
"401",4680,2,1,19,122,0,20
"402",67884,3,1,8,424,0,7
"403",304381,18,1,9,121,0,34
"404",6113,28,1,19,135,0,37
"405",114461,2,1,19,237,0,22
"406",166443,9,1,19,244,0,22
"407",116351,2,1,19,435,0,4
"408",333899,6,1,32,125,0,32
"409",119868,3,1,19,130,0,21
"410",229907,2,1,22,477,0,8
"411",53964,18,1,20,107,0,20
"412",73487,3,1,47,417,0,28
"413",105782,15,2,13,245,0,29
"414",117867,9,1,8,234,0,28
"415",93313,12,1,13,328,0,5
"416",14463,18,1,19,107,0,24
"417",141540,1,1,10,135,0,2
"418",168224,3,1,9,280,0,26
"419",24941,3,1,13,130,0,4
"420",6262,3,1,8,280,0,16
"421",44443,12,1,6,140,0,9
"422",102301,18,1,3,121,0,14
"423",8356,15,1,17,153,0,25
"424",39175,9,1,18,215,0,28
"425",47306,3,1,13,466,0,47
"426",79881,3,1,19,205,0,33
"427",28420,1,1,25,115,0,27
"428",100339,3,1,13,424,0,38
"429",69043,12,1,18,328,0,18
"430",205574,9,1,12,466,0,8
"431",50302,3,1,13,205,0,20
"432",262808,15,1,18,245,0,27
"433",43537,14,1,14,379,0,3
"434",92922,9,1,19,442,0,14
"435",164215,25,1,13,259,0,13
"436",36979,24,2,13,105,0,22
"437",339433,12,1,17,178,0,4
"438",81514,2,1,13,477,0,46
"439",204845,2,1,16,469,0,14
"440",201540,14,1,13,439,0,34
"441",92274,18,1,12,376,0,20
"442",14639,26,1,13,121,0,32
"443",114531,15,1,37,245,0,1
"444",57994,9,1,13,134,0,46
"445",290631,18,1,27,439,0,11
"446",58524,3,1,15,480,0,9
"447",84661,14,1,22,480,0,16
"448",163553,18,1,19,317,0,9
"449",100309,2,1,16,477,0,5
"450",1067,3,1,26,409,0,23
"451",259034,21,1,27,128,0,46
"452",30424,18,1,19,107,0,20
"453",121287,3,1,53,480,0,47
"454",91048,1,1,4,134,0,41
"455",167783,3,1,35,130,0,12
"456",111195,3,1,8,489,0,18
"457",117722,13,1,19,477,0,24
"458",87167,3,1,20,280,0,8
"459",44067,14,1,10,401,0,47
"460",163416,14,1,13,379,0,2
"461",67981,27,1,19,153,0,24
"462",5621,12,1,1,160,0,46
"463",88228,2,1,19,364,0,27
"464",22352,3,1,13,280,0,13
"465",85904,8,2,13,140,0,9
"466",95750,18,1,16,439,0,22
"467",58194,25,1,19,259,0,16
"468",60752,2,1,23,237,0,31
"469",30587,18,1,25,439,0,13
"470",166181,18,1,13,439,0,18
"471",43827,7,1,13,101,0,21
"472",23322,12,1,15,178,0,21
"473",85631,2,1,6,237,0,8
"474",9281,15,1,13,386,0,12
"475",81837,12,1,19,259,0,27
"476",98365,13,1,19,477,0,24
"477",125990,3,1,9,115,0,26
"478",101650,12,1,13,328,0,8
"479",93920,9,1,13,107,0,31
"480",207899,3,1,25,424,0,1
"481",63701,9,1,23,334,0,16
"482",272894,10,1,7,113,1,12
"483",95766,15,1,19,245,0,5
"484",62016,12,1,27,259,0,10
"485",107025,3,1,19,280,0,20
"486",33924,3,1,42,211,0,17
"487",231434,12,1,3,178,0,10
"488",118079,2,1,19,236,0,23
"489",141207,3,1,13,280,0,2
"490",44458,12,1,13,328,0,24
"491",54524,3,2,13,280,0,45
"492",114636,12,1,23,245,0,4
"493",359429,9,1,13,466,0,18
"494",119289,18,1,19,107,0,25
"495",18942,9,1,25,215,0,27
"496",7340,2,1,13,212,0,33
"497",122282,8,1,17,145,0,4
"498",7435,125,0,0,110,0,22
"499",12167,12,1,22,265,0,2
"500",6831,12,1,9,265,0,14
"501",83366,12,1,10,140,0,24
"502",8401,9,2,42,258,0,44
"503",29467,18,1,19,107,0,26
"504",115814,1,2,9,134,0,0
"505",181741,3,1,18,137,0,27
"506",17572,2,1,19,452,0,5
"507",86767,18,1,14,107,0,30
"508",22256,17,1,13,280,0,7
"509",194163,2,1,19,469,0,3
"510",2511,2,1,6,317,0,20
"511",47648,12,1,22,328,0,7
"512",95866,14,1,13,480,0,14
"513",114612,3,1,18,280,0,5
"514",122688,27,1,13,153,0,23
"515",93054,12,1,13,328,0,44
"516",185372,12,1,13,178,0,5
"517",73516,204,3543,748,347,0,28
"518",82813,15,1,19,245,0,8
"519",2539,12,1,28,328,0,4
"520",116351,26,1,37,266,0,11
"521",35335,21,1,41,232,0,23
"522",73983,18,1,9,134,0,23
"523",43233,6,1,10,125,0,5
"524",236144,1,1,27,153,0,10
"525",75595,9,1,22,134,0,0
"526",253793,9,1,6,445,0,15
"527",102255,12,1,19,178,0,18
"528",64639,18,1,47,107,0,20
"529",19216,1,1,17,178,0,45
"530",23271,3,1,19,19,0,13
"531",118125,36,1,18,110,0,21
"532",89567,12,1,13,135,0,23
"533",6996,1,1,9,134,0,45
"534",29533,2,1,13,122,0,31
"535",70522,3,1,6,137,0,12
"536",7795,7,1,19,101,0,13
"537",126985,2,1,19,219,0,34
"538",49407,14,1,19,379,0,23
"539",90500,3,1,13,280,0,7
"540",13034,18,1,35,121,0,27
"541",42062,12,1,16,178,0,11
"542",43809,12,1,17,178,0,3
"543",43537,15,1,13,265,0,13
"544",27818,9,1,19,334,0,18
"545",25563,64,1,19,459,0,36
"546",101894,12,1,13,259,0,15
"547",51871,3,1,18,280,0,11
"548",110628,18,1,19,134,0,27
"549",21925,10,1,6,377,0,34
"550",209627,3,1,13,280,0,25
"551",86285,9,1,13,244,0,4
"552",91250,14,1,6,489,0,6
"553",64960,3,1,19,417,0,1
"554",86388,12,1,35,245,0,45
"555",26682,12,1,3,259,0,27
"556",139216,15,1,13,140,0,20
"557",106223,2,1,13,122,0,34
"558",361422,24,1,11,178,0,5
"559",42240,9,1,20,145,0,24
"560",75374,5,1,8,377,0,8
"561",88162,18,1,18,439,0,27
"562",46132,3,1,13,115,0,6
"563",196018,12,1,25,205,0,18
"564",43827,8,1,13,140,0,4
"565",9147,7,1,18,101,0,13
"566",106000,1,1,19,134,0,26
"567",69605,28,1,19,135,0,15
"568",53454,12,1,19,409,0,28
"569",235120,23,1,19,153,0,30
"570",46413,6,1,20,125,0,25
"571",10785,18,1,18,107,0,8
"572",5729,3,1,13,280,0,45
"573",4442,15,2,9,245,0,24
"574",22385,12,1,22,245,0,12
"575",60381,12,1,36,140,0,4
"576",98944,15,1,22,140,0,34
"577",118339,11,1,35,122,0,34
"578",125175,3,1,8,280,0,2
"579",23986,3,1,25,280,0,6
"580",52961,18,1,20,121,0,26
"581",45745,6,1,13,459,0,34
"582",108947,1,1,18,134,0,1
"583",95766,12,1,13,140,0,28
"584",66596,27,1,13,153,0,1
"585",116935,18,1,8,107,0,47
"586",25679,2,1,19,237,0,3
"587",118284,15,1,27,265,0,35
"588",325602,25,1,13,259,0,26
"589",14895,3,1,13,280,0,8
"590",71017,64,1,13,459,0,16
"591",211747,2,1,6,477,0,22
"592",37161,7,1,36,101,0,36
"593",162367,19,0,99,347,0,47
"594",2600,23,1,22,153,0,24
"595",117989,18,1,10,107,0,24
"596",52672,3,1,19,280,0,26
"597",51686,8,1,25,145,0,17
"598",85150,15,1,3,379,0,42
"599",112291,6,1,15,459,0,7
"600",81973,27,1,20,153,0,30
"601",66184,9,1,13,445,0,7
"602",201182,3,1,25,211,0,32
"603",96021,18,1,6,107,0,24
"604",40372,3,1,35,280,0,17
"605",213099,3,1,25,280,0,28
"606",93587,18,1,13,134,0,29
"607",47145,11,1,13,319,0,14
"608",260488,32,1,23,376,0,12
"609",166986,20,1,13,259,0,8
"610",8005,12,1,18,105,0,14
"611",28110,15,1,25,265,0,29
"612",49754,3,1,13,137,0,20
"613",110325,10,1,19,317,0,14
"614",72467,15,1,41,386,0,16
"615",40045,2,1,8,377,0,32
"616",92834,2,1,19,477,0,15
"617",119008,12,1,22,265,0,28
"618",178522,9,1,18,442,0,11
"619",47140,12,1,30,265,0,5
"620",342636,15,1,31,379,0,5
"621",131492,14,1,22,480,0,47
"622",76181,2,1,23,122,0,25
"623",20449,15,1,19,245,0,25
"624",59903,12,1,19,178,0,14
"625",144208,9,1,13,442,0,32
"626",13212,11,1,19,469,0,6
"627",97883,2,1,35,435,0,13
"628",552,12,1,13,259,0,11
"629",63787,13,1,18,400,0,10
"630",59910,18,1,19,121,0,28
"631",35705,12,1,19,328,0,12
"632",67467,12,1,17,124,0,3
"633",33762,64,1,13,459,0,1
"634",78787,18,1,22,134,0,26
"635",16478,9,1,19,334,0,14
"636",63516,9,1,19,234,0,26
"637",81522,64,1,27,459,0,12
"638",21126,6,1,13,459,0,18
"639",12543,2,1,2,477,0,35
"640",203499,12,1,13,122,0,35
"641",66918,18,1,79,121,0,31
"642",95585,3,1,43,409,0,44
"643",47293,25,1,18,259,0,6
"644",219,9,1,19,232,0,31
"645",116253,3,1,15,424,0,20
"646",167368,2,1,15,236,0,30
"647",27083,15,1,30,278,0,41
"648",106143,3,1,31,280,0,25
"649",213289,13,1,13,477,0,0
"650",15251,12,1,22,19,0,1
"651",56516,19,7,21,282,0,23
"652",40838,2,1,14,377,0,9
"653",124763,12,1,18,140,0,5
"654",85107,3,1,2,379,0,12
"655",125355,7,1,13,101,0,21
"656",147865,3,1,22,280,0,4
"657",58415,3,1,41,280,0,1
"658",8482,3,1,25,211,0,34
"659",83252,7,1,13,101,0,21
"660",111299,26,1,13,121,0,12
"661",85536,15,1,17,140,0,31
"662",15360,2,1,14,237,0,13
"663",49783,12,1,19,409,0,18
"664",48282,18,3866,866,107,0,20
"665",14764,18,1,19,107,0,44
"666",80331,12,1,17,409,0,26
"667",97684,12,1,19,265,0,31
"668",227493,18,1,1,107,0,2
"669",3649,13,1,53,477,0,7
"670",125837,3,1,14,173,0,31
"671",92964,12,1,13,178,0,12
"672",16535,3,1,64,280,0,22
"673",28627,2,1,19,243,0,11
"674",110596,3,1,19,280,0,22
"675",1195,17,1,10,280,0,5
"676",4570,32,1,15,376,0,7
"677",146717,9,1,13,134,0,26
"678",20593,18,1,3,107,0,4
"679",259170,3,1,35,280,0,6
"680",25097,2,1,10,205,0,34
"681",108858,6,1,25,125,0,24
"682",188580,21,1,3,128,0,2
"683",105748,3,1,17,30,0,5
"684",67197,12,1,41,340,0,21
"685",183032,3,1,13,379,0,0
"686",94877,9,1,22,334,0,24
"687",196951,14,1,25,349,0,17
"688",29943,18,1,13,107,0,20
"689",264419,6,1,19,459,0,16
"690",211520,2,1,10,469,0,25
"691",17899,6,1,19,459,0,15
"692",100510,2,1,19,435,0,25
"693",12828,26,1,13,266,0,26
"694",120005,12,1,53,245,0,10
"695",29290,18,1,13,107,0,4
"696",95766,15,1,47,245,0,15
"697",88143,27,1,27,153,0,1
"698",159329,3,1,19,280,0,13
"699",74306,25,1,37,259,0,46
"700",105587,9,1,14,466,0,1
"701",93620,202,1,22,421,0,25
"702",140653,1,1,13,178,0,5
"703",44490,1,1,17,153,0,20
"704",60131,3,1,19,280,0,1
"705",119347,2,1,19,258,0,25
"706",111025,18,1,13,107,0,32
"707",23544,26,1,37,121,0,5
"708",119901,14,1,19,208,0,1
"709",100393,3,2,58,402,0,28
"710",166224,10,1,25,113,0,47
"711",203958,18,1,1,107,0,21
"712",50983,32,1,19,376,0,17
"713",14271,3,1,13,409,0,8
"714",67188,3,1,19,211,0,6
"715",210014,2,1,18,477,0,25
"716",152055,11,1,53,469,0,22
"717",7565,2,1,37,237,0,11
"718",125205,2,1,13,477,0,38
"719",123623,7,1,13,101,0,4
"720",177104,2,1,19,469,0,1
"721",116677,21,1,19,128,0,6
"722",5348,1,1,30,115,0,25
"723",118094,3,1,9,409,0,5
"724",25737,2,1,19,205,0,27
"725",1462,12,1,17,328,0,1
"726",84107,12,1,19,178,0,14
"727",49407,15,2,36,3,0,47
"728",95820,19,0,50,213,0,20
"729",101690,15,1,17,153,0,12
"730",135920,11,1,19,173,0,20
"731",125730,12,1,22,409,0,13
"732",70683,28,1,13,135,0,32
"733",28221,3,1,31,480,0,21
"734",116597,2,1,15,219,0,25
"735",74515,22,1,18,116,0,5
"736",133128,12,1,19,19,0,29
"737",8625,9,1,18,232,0,27
"738",32799,14,1,19,379,0,22
"739",42821,3,1,32,211,0,10
"740",33181,15,1,18,245,0,21
"741",65676,7,2,13,101,0,21
"742",333962,3,1,17,280,0,4
"743",34067,1,1,22,452,0,7
"744",157414,3,1,19,280,0,13
"745",95820,21,1,13,128,0,45
"746",37506,14,1,17,489,0,16
"747",97444,14,1,18,349,0,28
"748",121256,3,1,8,280,0,3
"749",204209,12,1,13,265,0,45
"750",974,21,1,19,128,0,11
"751",78809,3,1,19,280,0,23
"752",7246,12,1,19,259,0,37
"753",73516,9,1,35,466,0,21
"754",111121,12,1,13,178,0,5
"755",95766,12,1,10,140,0,46
"756",338130,3,1,13,280,0,10
"757",70097,2,1,19,219,0,10
"758",55977,11,1,19,319,0,18
"759",89778,21,1,22,128,0,32
"760",111438,18,1,19,121,0,26
"761",125288,12,1,13,328,0,47
"762",41113,23,1,17,153,0,4
"763",102880,15,2,2,265,0,11
"764",37703,14,1,13,416,0,1
"765",32577,14,1,15,489,0,10
"766",16916,21,1,47,128,0,1
"767",106063,18,1,19,134,0,15
"768",131278,70,0,24,243,0,1
"769",61780,22,1,19,496,0,11
"770",27027,14,1,17,401,0,27
"771",37437,3,1,19,280,0,7
"772",14290,23,1,19,153,0,12
"773",100309,12,1,13,265,0,27
"774",46416,11,1,13,325,0,27
